final_node_in_dim,reservoir_units_max,reservoir_units_mean,spectral_radius_max,spectral_radius_mean,leak_rate_max,leak_rate_mean,nvar_order_max,nvar_outputs_max,num_reservoirs,num_nonnvar_reservoirs,has_nvar,has_rls,has_lms,has_ip,two_stage_readout,sr_subcritical,sr_bin,sr_supercritical,high_order_nvar,nrmse,r2,dataset
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,0.9863721659914136,0.9994324513948271,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,0,1,0,1,1,near,0,0,1.0433912184885954,0.9993649384808067,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.0445674525457376,0.9993635058407447,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.0526931780528286,0.999353564705199,laser
1984,1976,1976.0,0.907967751433864,0.907967751433864,0.8247759033828834,0.8247759033828834,3,0,2,1,1,1,1,0,1,1,near,0,0,1.0539296589704523,0.9993520452228841,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.0617240223644848,0.9993424258519623,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.0684720957169287,0.999334040509055,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.0709813795665104,0.9993309088528306,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1044768319755498,0.9992884020895134,laser
1426,1419,1419.0,1.113023034048581,1.113023034048581,0.7977999615615947,0.7977999615615947,2,0,2,1,1,1,1,0,1,0,super,1,0,1.1086462365643055,0.9992830193786916,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1102799654271949,0.9992809047005133,laser
1426,1419,1419.0,1.113023034048581,1.113023034048581,0.7977999615615947,0.7977999615615947,2,0,2,1,1,1,1,0,1,0,super,1,0,1.1152069451160531,0.9992745084235655,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.116547972620917,0.999272762578783,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1201013461093652,0.9992681263997532,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1226398108458633,0.9992648053779171,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,0,1,0,1,1,near,0,0,1.128529343722209,0.9992570712665149,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.132965815680438,0.9992512185856062,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1375796825393083,0.999245107523317,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1397740988113894,0.9992421923058266,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,0,1,0,1,1,near,0,0,1.150916376378799,0.9992273034327892,laser
