dataset,metric,baseline,test,n_esnas,n_baseline,median_esnas,median_baseline,median_delta_esnas_minus_baseline,p_two_sided,q_two_sided,p_esnas_better,q_esnas_better,cliffs_delta,esnas_nrmse_per_run,ga_nrmse_per_run,bo_nrmse_per_run
mgs,NRMSE,GA-only,Mann-Whitney U,5,5,0.07999365191201441,0.2085308492210372,-0.1285371973090228,0.031746031746031744,0.09523809523809523,0.015873015873015872,0.047619047619047616,-0.84,"[0.06486372152796428, 0.010954445683166298, 0.12265877899207456, 0.07999365191201441, 0.11892908895254455]","[0.1382105517362447, 0.0941131453800595, 0.3515734938496767, 0.2101999860629435, 0.2085308492210372]",
lorenz,NRMSE,GA-only,Mann-Whitney U,5,5,0.05125784433148024,0.049863367911637854,0.0013944764198423887,0.6904761904761905,0.6904761904761904,0.726190476190476,0.8714285714285712,0.2,"[0.05125784433148024, 0.05660386562275806, 0.05169614440362792, 0.05027957860642074, 0.0499870671318957]","[0.06904058092719664, 0.04510049288851216, 0.049863367911637854, 0.06959710462648873, 0.047645032198284594]",
dde,NRMSE,GA-only,Mann-Whitney U,5,5,0.0012824201075865588,0.0015744664173445665,-0.00029204630975800767,0.42063492063492064,0.5047619047619047,0.21031746031746032,0.31547619047619047,-0.36,"[0.001184701657387784, 0.0011733062575844757, 0.0025635108393858427, 0.0018352789903461279, 0.0012824201075865588]","[0.0015037665626893536, 0.0015744664173445665, 0.0017988869439439395, 0.035977787507649885, 0.0014070517275991603]",
laser,NRMSE,GA-only,Mann-Whitney U,5,5,1.4595787418687303,1.3873820367944085,0.07219670507432174,0.30952380952380953,0.4642857142857143,0.8888888888888887,0.8888888888888887,0.44,"[1.439486023699534, 1.2062863162023647, 2.8731247580616905, 1.936030496108906, 1.4595787418687303]","[1.0987615804759716, 1.3873820367944085, 1.5584615193200495, 1.0393193984650904, 1.619939545396581]",
sunspots,NRMSE,GA-only,Mann-Whitney U,5,5,0.34016238142038063,0.3455992212773625,-0.0054368398569818455,0.015873015873015872,0.09523809523809523,0.007936507936507936,0.047619047619047616,-0.92,"[0.3396156915810991, 0.34016238142038063, 0.3436824045136108, 0.3373780154079279, 0.34051600856476316]","[0.3441390063031604, 0.34696789973673137, 0.34294125626574773, 0.346626242594906, 0.3455992212773625]",
water,NRMSE,GA-only,Mann-Whitney U,5,5,0.036361439470022856,0.03783260620598669,-0.0014711667359638345,0.30952380952380953,0.4642857142857143,0.15476190476190477,0.30952380952380953,-0.44,"[0.036361439470022856, 0.03605275884881117, 0.037366984657909365, 0.036590694475184926, 0.03381119647726586]","[0.043381443258761074, 0.036131804604930616, 0.04213987310013646, 0.03783260620598669, 0.03425151453971375]",
mgs,NRMSE,BO-only,Mann-Whitney U,5,5,0.07999365191201441,0.092227259287443,-0.012233607375428598,0.6904761904761905,0.6904761904761904,0.34523809523809523,0.3452380952380952,-0.2,"[0.06486372152796428, 0.010954445683166298, 0.12265877899207456, 0.07999365191201441, 0.11892908895254455]",,"[0.023971656304698195, 0.12496948864134316, 0.09989147539119078, 0.092227259287443, 0.0921468146323327]"
lorenz,NRMSE,BO-only,Mann-Whitney U,5,5,0.05125784433148024,0.41726891513077247,-0.36601107079929224,0.007936507936507936,0.023809523809523808,0.003968253968253968,0.011904761904761904,-1.0,"[0.05125784433148024, 0.05660386562275806, 0.05169614440362792, 0.05027957860642074, 0.0499870671318957]",,"[0.07724039575268299, 0.4306601706250355, 0.09582124258714587, 0.563491909144804, 0.41726891513077247]"
dde,NRMSE,BO-only,Mann-Whitney U,5,5,0.0012824201075865588,0.0015103948329242035,-0.0002279747253376447,0.5476190476190477,0.6571428571428573,0.27380952380952384,0.3285714285714286,-0.28,"[0.001184701657387784, 0.0011733062575844757, 0.0025635108393858427, 0.0018352789903461279, 0.0012824201075865588]",,"[0.0015103948329242035, 0.0013645660587625018, 0.0015892973689658062, 0.0012805069764871915, 0.004896059803421201]"
laser,NRMSE,BO-only,Mann-Whitney U,5,5,1.4595787418687303,1.591939101205212,-0.13236035933648171,0.30952380952380953,0.4642857142857143,0.15476190476190477,0.23214285714285715,-0.44,"[1.439486023699534, 1.2062863162023647, 2.8731247580616905, 1.936030496108906, 1.4595787418687303]",,"[1.492101184245755, 1.591939101205212, 1.5648728564237193, 2.217832134009033, 5.888019097079013]"
sunspots,NRMSE,BO-only,Mann-Whitney U,5,5,0.34016238142038063,0.9053767744743993,-0.5652143930540188,0.007936507936507936,0.023809523809523808,0.003968253968253968,0.011904761904761904,-1.0,"[0.3396156915810991, 0.34016238142038063, 0.3436824045136108, 0.3373780154079279, 0.34051600856476316]",,"[0.9109160919900712, 0.5592963239132819, 0.8309830103256736, 0.9053767744743993, 0.9164696969958182]"
water,NRMSE,BO-only,Mann-Whitney U,5,5,0.036361439470022856,0.038092822409092265,-0.001731382939069409,0.031746031746031744,0.06349206349206349,0.015873015873015872,0.031746031746031744,-0.84,"[0.036361439470022856, 0.03605275884881117, 0.037366984657909365, 0.036590694475184926, 0.03381119647726586]",,"[0.03723476556127337, 0.038168546167457615, 0.03665771588852967, 0.038092822409092265, 0.03926111861055682]"
